movie,year,genre,imdb,douban,region
The Shawshank Redemption,1994,"Crime, Drama",9.3,9.6,USA
Ba wang bie ji,1993,"Drama, Music, Romance",8.1,9.5,China
Léon,1994,"Crime, Drama, Thriller",8.6,9.4,France
Forrest Gump,1994,"Drama, Romance",8.8,9.4,USA
La vita è bella,1997,"Comedy, Drama, War",8.6,9.5,Italy
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",8.6,9.2,Japan
Schindler's List,1993,"Biography, Drama, History",8.9,9.4,USA
Titanic,1997,"Drama, Romance",7.8,9.2,USA
Inception,2010,"Action, Adventure, Sci-Fi",8.8,9.3,USA
WALL·E,2008,"Animation, Adventure, Family",8.4,9.3,USA
La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance",8.1,9.2,Italy
3 Idiots,2009,"Comedy, Drama",8.4,9.1,India
Hachi: A Dog's Tale,2009,"Drama, Family",8.1,9.2,UK
Les choristes,2004,"Drama, Music",7.9,9.2,France
Sai yau gei: Sin leui kei yun,1995,"Action, Adventure, Comedy",8.1,9.2,Hong Kong
The Godfather,1972,"Crime, Drama",9.2,9.2,USA
Tonari no Totoro,1988,"Animation, Family, Fantasy",8.2,9.1,Japan
The Truman Show,1998,"Comedy, Drama, Sci-Fi",8.1,9.1,USA
Gone with the Wind,1939,"Drama, History, Romance",8.2,9.2,USA
The Intouchables,2011,"Biography, Comedy, Drama",8.6,9.1,France
Nuovo Cinema Paradiso,1988,Drama,8.5,9.1,Italy
The Pursuit of Happyness,2006,"Biography, Drama",8.0,8.9,USA
Mou gaan dou,2002,"Crime, Drama, Mystery",8.1,9.0,Hong Kong
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,9.1,USA
12 Angry Men,1957,"Crime, Drama",8.9,9.4,USA
Flipped,2010,"Comedy, Drama, Romance",7.7,8.9,USA
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",8.9,9.1,USA
Life of Pi,2012,"Adventure, Drama, Fantasy",7.9,9.0,USA
Guizi lai le,2000,"Comedy, Drama, War",8.3,9.2,China
The Dark Knight,2008,"Action, Crime, Drama",9.0,9.0,USA
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Family",8.1,9.0,Japan
