movie,year,genre,imdb,douban,region
The Shawshank Redemption,1994,"Crime, Drama",9.3,9.6,USA
The Godfather,1972,"Crime, Drama",9.2,9.2,USA
The Godfather: Part II,1974,"Crime, Drama",9,9.1,USA
The Dark Knight,2008,"Action, Crime, Drama",9,9,USA
12 Angry Men,1957,"Crime, Drama",8.9,9.4,USA
Schindler's List,1993,"Biography, Drama, History",8.9,9.4,USA
Pulp Fiction,1994,"Crime, Drama",8.9,8.8,USA
The Lord of the Rings: The Return of the King,2003,"Adventure, Drama, Fantasy",8.9,9.1,USA
"Il buono, il brutto, il cattivo",1966,Western,8.9,9.1,Italy
Fight Club,1999,Drama,8.8,9,USA
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",8.8,8.9,New Zealand
Forrest Gump,1994,"Drama, Romance",8.8,9.4,USA
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.8,8.2,USA
Inception,2010,"Action, Adventure, Sci-Fi",8.8,9.3,USA
The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy",8.7,8.9,USA
One Flew Over the Cuckoo's Nest,1975,Drama,8.7,9,USA
Goodfellas,1990,"Biography, Crime, Drama",8.7,8.3,USA
The Matrix,1999,"Action, Sci-Fi",8.7,8.8,USA
Shichinin no samurai,1954,"Adventure, Drama",8.7,9.2,Japan
Star Wars,1977,"Action, Adventure, Fantasy",8.7,8.3,USA
Cidade de Deus,2002,"Crime, Drama",8.6,8.9,Brazil
Se7en,1995,"Crime, Drama, Mystery",8.6,8.7,USA
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,8.7,USA
It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,9.2,USA
La vita è bella,1997,"Comedy, Drama, War",8.6,9.5,Italy
The Usual Suspects,1995,"Crime, Drama, Mystery",8.6,8.6,USA
Léon,1994,"Crime, Drama, Thriller",8.6,9.4,France
Saving Private Ryan,1998,"Drama, War",8.6,8.9,USA
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",8.6,9.2,Japan
Coco,2017,"Animation, Adventure, Comedy",8.8,9.1,USA
American History X,1998,"Crime, Drama",8.5,8.5,USA
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,9.1,USA
Once Upon a Time in the West,1968,Western,8.5,8.5,Italy
The Green Mile,1999,"Crime, Drama, Fantasy",8.5,8.7,USA
Psycho,1960,"Horror, Mystery, Thriller",8.5,8.9,USA
